################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  7.7786897757332829E-02 a         1     0     1     1     1
 -1.5578039972351601E-01 a         2     0     1     1     2
 -1.1744019626958074E-01 a         3     0     1     1     3
  1.5934090797861944E-01 a         4     0     1     1     4
  7.1202006652850702E-02 a         5     0     1     1     5
  7.6975990121407531E-02 a         6     0     1     1     6
  1.4753809489556484E-02 a         7     0     1     1     7
 -1.9793522586888213E-01 a         8     0     1     1     8
 -9.7381158632639270E-02 a         9     0     1     1     9
 -1.3328889592527285E-01 a        10     0     1     1    10
  2.5096388024547300E-01 a        11     0     1     1    11
 -7.2438073487820956E-02 a        12     0     1     1    12
 -1.8118702130309319E-01 a        13     0     1     1    13
  1.2686530249318437E-01 a        14     0     1     1    14
  2.0017474176293854E-01 a        15     0     1     1    15
  9.9435595994564599E-02 a        16     0     1     1    16
 -7.4983227448533599E-02 a        17     0     1     1    17
  2.2436989897978413E-01 a        18     0     1     1    18
  1.1515472882152433E-01 a        19     0     1     1    19
 -2.4301909237557784E-01 a        20     0     1     1    20
  1.3421083445990287E-01 a        21     0     1     1    21
 -8.6505700138600913E-02 a        22     0     1     1    22
  7.6504428070136812E-02 a        23     0     1     1    23
  1.5450743060721778E-01 a        24     0     1     1    24
 -1.8104560287159902E-01 a        25     0     1     1    25
  2.3338890827058845E-01 a        26     0     1     1    26
  1.6458318912082184E-01 a        27     0     1     1    27
 -2.4978503124714144E-01 a        28     0     1     1    28
  1.6151952513116685E-01 a        29     0     1     1    29
  2.6740902800397046E-03 a        30     0     1     1    30
  1.4357387760446685E-01 a        31     0     1     1    31
 -2.5056705579661576E-01 a        32     0     1     1    32
 -6.3754658714494303E-02 a        33     0     1     1    33
  3.3687501167972991E-02 a        34     0     1     1    34
  2.3787058969658509E-01 a        35     0     1     1    35
