################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -6.5135489652706977E-02 a         1     0     1     1     1
 -1.7752721982748815E-01 a         2     0     1     1     2
  9.3715528215312052E-02 a         3     0     1     1     3
  3.2322872133364315E-02 a         4     0     1     1     4
 -8.0905284064978697E-02 a         5     0     1     1     5
  1.4886603938983403E-01 a         6     0     1     1     6
  1.1947714454687546E-01 a         7     0     1     1     7
  2.1493027320198371E-01 a         8     0     1     1     8
 -9.1300795874279611E-02 a         9     0     1     1     9
 -1.9873784079585413E-01 a        10     0     1     1    10
 -2.2831549079472430E-01 a        11     0     1     1    11
 -2.4783075057776452E-01 a        12     0     1     1    12
 -3.8665371971584171E-02 a        13     0     1     1    13
  9.7838766471416885E-02 a        14     0     1     1    14
  3.9348000911157019E-02 a        15     0     1     1    15
 -7.3734478598282235E-02 a        16     0     1     1    16
 -1.2971501972915278E-01 a        17     0     1     1    17
 -1.0337809270043420E-01 a        18     0     1     1    18
 -1.4575399111684963E-02 a        19     0     1     1    19
 -4.4846670105175394E-02 a        20     0     1     1    20
  8.2153468049203038E-02 a        21     0     1     1    21
 -2.4971440313426391E-01 a        22     0     1     1    22
 -1.9654612992988130E-01 a        23     0     1     1    23
  1.8345767392066964E-01 a        24     0     1     1    24
 -1.9863746648123637E-01 a        25     0     1     1    25
 -1.4701816425829431E-01 a        26     0     1     1    26
 -5.2117521669598134E-02 a        27     0     1     1    27
  1.0535343324016663E-01 a        28     0     1     1    28
  1.2528096507141351E-01 a        29     0     1     1    29
  2.5237636663259727E-01 a        30     0     1     1    30
  9.6373749327567468E-02 a        31     0     1     1    31
 -1.4681457001239340E-01 a        32     0     1     1    32
 -4.1458620799482843E-02 a        33     0     1     1    33
 -1.9791884415950278E-01 a        34     0     1     1    34
 -5.0394714060236637E-03 a        35     0     1     1    35
  4.2430579112699020E-02 a        36     0     1     1    36
  2.2994541302379465E-01 a        37     0     1     1    37
 -1.9252371395688345E-01 a        38     0     1     1    38
  8.5579511195226110E-02 a        39     0     1     1    39
 -2.0596642301925808E-01 a        40     0     1     1    40
 -2.0471594425193410E-01 a        41     0     1     1    41
  5.8650561045779127E-02 a        42     0     1     1    42
  2.3556224660146441E-01 a        43     0     1     1    43
  1.0635346396789563E-01 a        44     0     1     1    44
  2.3929391877628728E-01 a        45     0     1     1    45
 -1.4537611952860751E-02 a        46     0     1     1    46
 -2.1105970308733879E-01 a        47     0     1     1    47
 -1.3212106252798306E-02 a        48     0     1     1    48
 -2.1969826987650351E-01 a        49     0     1     1    49
 -3.5146782840562815E-02 a        50     0     1     1    50
  2.2400016740828924E-01 a        51     0     2     1     1
 -1.7989559712179856E-01 a        52     0     2     1     2
 -2.1940187361264510E-01 a        53     0     2     1     3
  2.2827346404879920E-01 a        54     0     2     1     4
 -9.7017988544914224E-02 a        55     0     2     1     5
  3.1516619112420811E-02 a        56     0     2     1     6
 -4.1053471057821474E-03 a        57     0     2     1     7
 -1.7683206085132525E-01 a        58     0     2     1     8
 -2.4121305241119068E-01 a        59     0     2     1     9
  2.3135554600067157E-01 a        60     0     2     1    10
  2.3004010728348304E-01 a        61     0     2     1    11
 -8.4865714613150720E-02 a        62     0     2     1    12
 -9.0461295195743332E-03 a        63     0     2     1    13
 -2.2911618945829434E-01 a        64     0     2     1    14
 -9.1658100512099258E-02 a        65     0     2     1    15
  7.9199241441460760E-02 a        66     0     2     1    16
  5.5139868503977146E-02 a        67     0     2     1    17
  4.1415341359088566E-02 a        68     0     2     1    18
 -3.2863596499902253E-02 a        69     0     2     1    19
 -1.8026832343458996E-01 a        70     0     2     1    20
  8.4987565371954024E-02 a        71     0     2     1    21
  1.7408422951146290E-02 a        72     0     2     1    22
  2.4736554963147298E-01 a        73     0     2     1    23
 -2.3188128857422385E-01 a        74     0     2     1    24
 -1.5441900814421672E-01 a        75     0     2     1    25
 -1.7384268542532200E-01 a        76     0     2     1    26
 -1.4425032797997661E-01 a        77     0     2     1    27
  2.3230087486450585E-01 a        78     0     2     1    28
 -1.7020272941757394E-01 a        79     0     2     1    29
 -1.1842547174533072E-01 a        80     0     2     1    30
 -1.8157778503677849E-02 a        81     0     2     1    31
  1.3320803719675228E-01 a        82     0     2     1    32
  2.1842507243541118E-01 a        83     0     2     1    33
  1.6942882086317579E-01 a        84     0     2     1    34
  1.5655557381565302E-01 a        85     0     2     1    35
  2.2245723038520890E-01 a        86     0     2     1    36
  9.0361421887561730E-02 a        87     0     2     1    37
  1.0985959964626828E-02 a        88     0     2     1    38
  5.5558019558873843E-02 a        89     0     2     1    39
  1.0600973216881147E-01 a        90     0     2     1    40
 -6.1038416109892760E-02 a        91     0     2     1    41
  5.6701722949761904E-02 a        92     0     2     1    42
  7.9023672280245552E-02 a        93     0     2     1    43
  3.9248297419541021E-02 a        94     0     2     1    44
  1.5153903763519455E-01 a        95     0     2     1    45
  2.1712227090097910E-01 a        96     0     2     1    46
  3.4940272815690017E-02 a        97     0     2     1    47
 -1.8069276899973424E-01 a        98     0     2     1    48
 -2.3390208560747827E-01 a        99     0     2     1    49
 -1.1099887841183692E-01 a       100     0     2     1    50
 -1.9448993851029311E-01 a       101     0     3     1     1
  1.9275224031894445E-01 a       102     0     3     1     2
 -2.5144880488639804E-01 a       103     0     3     1     3
 -2.2427010118527141E-01 a       104     0     3     1     4
  1.5773640460184571E-01 a       105     0     3     1     5
  3.8004364914333927E-02 a       106     0     3     1     6
 -6.2656808531457941E-02 a       107     0     3     1     7
  1.3693017597898824E-01 a       108     0     3     1     8
  2.3401409854063589E-02 a       109     0     3     1     9
 -2.1047573947508388E-01 a       110     0     3     1    10
  9.2425026371050160E-03 a       111     0     3     1    11
 -1.5923139698574443E-01 a       112     0     3     1    12
 -7.3355934165412570E-02 a       113     0     3     1    13
 -1.5075627091122029E-01 a       114     0     3     1    14
 -1.7927015117554942E-01 a       115     0     3     1    15
 -4.4159972703178056E-02 a       116     0     3     1    16
 -8.6934589356130798E-02 a       117     0     3     1    17
 -1.4015329926968707E-02 a       118     0     3     1    18
  2.3051716114064719E-01 a       119     0     3     1    19
  8.8174974502688228E-02 a       120     0     3     1    20
  2.3464410123139517E-01 a       121     0     3     1    21
 -8.4500071482499800E-02 a       122     0     3     1    22
 -1.0834491864888933E-01 a       123     0     3     1    23
 -3.9085734804004346E-02 a       124     0     3     1    24
 -1.4487438495039509E-01 a       125     0     3     1    25
 -2.3589044232534148E-01 a       126     0     3     1    26
  1.1059941502782059E-01 a       127     0     3     1    27
  2.1657799168388420E-01 a       128     0     3     1    28
 -2.0618231100937101E-01 a       129     0     3     1    29
  6.3633888930887963E-02 a       130     0     3     1    30
  1.2059417543964439E-01 a       131     0     3     1    31
  9.9063062449737380E-02 a       132     0     3     1    32
  1.1959162647970737E-02 a       133     0     3     1    33
 -1.7822074473542426E-01 a       134     0     3     1    34
 -1.7897110230082816E-01 a       135     0     3     1    35
  1.2427098140428847E-02 a       136     0     3     1    36
 -2.5179258425314766E-01 a       137     0     3     1    37
 -2.0959863620026525E-01 a       138     0     3     1    38
 -1.8825348459835978E-01 a       139     0     3     1    39
 -3.5585672802992512E-02 a       140     0     3     1    40
  1.6202651439046048E-01 a       141     0     3     1    41
  8.3858036312930880E-03 a       142     0     3     1    42
  9.5447663249269149E-02 a       143     0     3     1    43
  5.9770322560382248E-02 a       144     0     3     1    44
 -9.6277635529823366E-02 a       145     0     3     1    45
  1.1480085416913989E-01 a       146     0     3     1    46
 -2.3344927924884948E-01 a       147     0     3     1    47
 -1.8364996371088038E-01 a       148     0     3     1    48
 -4.7311122905259240E-02 a       149     0     3     1    49
  4.9992974206671838E-04 a       150     0     3     1    50
  1.0031575632432144E-01 a       151     0     4     1     1
 -2.1624995947385706E-01 a       152     0     4     1     2
 -2.3361889567349323E-01 a       153     0     4     1     3
  3.4612501157550296E-02 a       154     0     4     1     4
 -1.8057163829646641E-01 a       155     0     4     1     5
  5.1941947275939739E-02 a       156     0     4     1     6
 -5.6296261758811111E-02 a       157     0     4     1     7
  8.5645692325981460E-02 a       158     0     4     1     8
  2.4109582713217409E-01 a       159     0     4     1     9
 -2.2599679971074615E-01 a       160     0     4     1    10
  1.8463537748961763E-02 a       161     0     4     1    11
 -1.9117154562899247E-01 a       162     0     4     1    12
  1.5492183737332990E-01 a       163     0     4     1    13
 -2.3818491516489851E-01 a       164     0     4     1    14
 -1.7088258658928202E-01 a       165     0     4     1    15
 -8.9600079996856027E-02 a       166     0     4     1    16
  1.5738117676829888E-01 a       167     0     4     1    17
  1.6635388868817552E-01 a       168     0     4     1    18
 -1.7587610560887154E-01 a       169     0     4     1    19
  2.2386353499745260E-01 a       170     0     4     1    20
 -1.0247050402235452E-01 a       171     0     4     1    21
 -1.1673851326918452E-01 a       172     0     4     1    22
 -4.7006562602982568E-02 a       173     0     4     1    23
  2.1161755538100756E-02 a       174     0     4     1    24
 -6.7242108862531541E-02 a       175     0     4     1    25
  6.3797117969417352E-02 a       176     0     4     1    26
  1.4756544927616794E-01 a       177     0     4     1    27
  1.2374038918832610E-01 a       178     0     4     1    28
